date	name	return
2025-11-30T00:00:00	SRI - Balanced	-0.3700
2025-11-30T00:00:00	Indexed Balanced	-0.7200
2025-11-30T00:00:00	Balanced	-0.0200
2025-11-30T00:00:00	Growth	-0.2100
2025-11-30T00:00:00	Cash	0.2800
2025-11-30T00:00:00	Bonds	-0.2200
2025-11-30T00:00:00	Australian Shares	-1.2300
2025-11-30T00:00:00	International Shares	-0.0500
2025-11-30T00:00:00	International Shares - Indexed	0.2600
2025-11-30T00:00:00	Bonds – Indexed	-0.2500
2025-11-30T00:00:00	Australian Shares – Indexed	-2.2500
2025-11-30T00:00:00	Defensive	0.0400
2025-11-30T00:00:00	Indexed Defensive	-0.1400
2025-11-30T00:00:00	SRI - Defensive	-0.0800
2025-11-30T00:00:00	High Growth	-0.3700
2025-11-30T00:00:00	Indexed High Growth	-0.9500
2025-11-30T00:00:00	SRI - High Growth	-0.6000
2025-11-30T00:00:00	Indexed Growth 	-0.7900
2025-11-30T00:00:00	Indexed Conservative	-0.5200
2025-11-30T00:00:00	Indexed Stable	-0.3600
2025-11-30T00:00:00	Stable	0.0900
2025-11-30T00:00:00	Conservative	0.0000
2025-11-30T00:00:00	SRI - Balanced	-0.3700
2025-11-30T00:00:00	Indexed Balanced	-0.7200
2025-11-30T00:00:00	Balanced	-0.0200
2025-11-30T00:00:00	Growth	-0.2100
2025-11-30T00:00:00	Cash	0.2800
2025-11-30T00:00:00	Bonds	-0.2200
2025-11-30T00:00:00	Australian Shares	-1.2300
2025-11-30T00:00:00	International Shares	-0.0500
2025-11-30T00:00:00	International Shares - Indexed	0.2600
2025-11-30T00:00:00	Bonds – Indexed	-0.2500
2025-11-30T00:00:00	Australian Shares – Indexed	-2.2500
2025-11-30T00:00:00	Defensive	0.0400
2025-11-30T00:00:00	Indexed Defensive	-0.1400
2025-11-30T00:00:00	SRI - Defensive	-0.0800
2025-11-30T00:00:00	High Growth	-0.3700
2025-11-30T00:00:00	Indexed High Growth	-0.9500
2025-11-30T00:00:00	SRI - High Growth	-0.6000
2025-11-30T00:00:00	Indexed Growth 	-0.7900
2025-11-30T00:00:00	Indexed Conservative	-0.5200
2025-11-30T00:00:00	Indexed Stable	-0.3600
2025-10-31T00:00:00	Stable	0.7800
2025-10-31T00:00:00	Conservative	1.1000
2025-10-31T00:00:00	SRI - Balanced	1.5200
2025-10-31T00:00:00	Indexed Balanced	1.5600
2025-10-31T00:00:00	Balanced	1.3000
2025-10-31T00:00:00	Growth	1.6000
2025-10-31T00:00:00	Cash	0.3000
2025-10-31T00:00:00	Bonds	0.5100
2025-10-31T00:00:00	Australian Shares	0.7000
2025-10-31T00:00:00	International Shares	2.8900
2025-10-31T00:00:00	International Shares - Indexed	3.1200
2025-10-31T00:00:00	Bonds – Indexed	0.5200
2025-10-31T00:00:00	Australian Shares – Indexed	0.4400
2025-10-31T00:00:00	Defensive	0.5400
2025-10-31T00:00:00	Indexed Defensive	0.5200
2025-10-31T00:00:00	SRI - Defensive	0.6000
2025-10-31T00:00:00	High Growth	1.7500
2025-10-31T00:00:00	Indexed High Growth	1.9600
2025-10-31T00:00:00	SRI - High Growth	1.9100
2025-10-31T00:00:00	Indexed Growth 	1.8000
2025-10-31T00:00:00	Indexed Conservative	1.1900
2025-10-31T00:00:00	Indexed Stable	0.9000
2025-10-31T00:00:00	Stable	0.7800
2025-10-31T00:00:00	Conservative	1.1000
2025-10-31T00:00:00	SRI - Balanced	1.5200
2025-10-31T00:00:00	Indexed Balanced	1.5600
2025-10-31T00:00:00	Balanced	1.3000
2025-10-31T00:00:00	Growth	1.6000
2025-10-31T00:00:00	Cash	0.3000
2025-10-31T00:00:00	Bonds	0.5100
2025-10-31T00:00:00	Australian Shares	0.7000
2025-10-31T00:00:00	International Shares	2.8900
2025-10-31T00:00:00	International Shares - Indexed	3.1200
2025-10-31T00:00:00	Bonds – Indexed	0.5200
2025-10-31T00:00:00	Australian Shares – Indexed	0.4400
2025-10-31T00:00:00	Defensive	0.5400
2025-10-31T00:00:00	Indexed Defensive	0.5200
2025-10-31T00:00:00	SRI - Defensive	0.6000
2025-10-31T00:00:00	High Growth	1.7500
2025-10-31T00:00:00	Indexed High Growth	1.9600
2025-10-31T00:00:00	SRI - High Growth	1.9100
2025-10-31T00:00:00	Indexed Growth 	1.8000
